category,title,link,content
Sports,"
Nkosana two points away from title glory with Mbabane Swallows in Eswatini ",https://nehandaradio.com/2024/05/08/nkosana-two-points-away-from-title-glory-with-mbabane-swallows-in-eswatini/,"
Germany international coach Winfried Schafer who won the Africa Cup of Nations (AFCON) with Cameroon back in 2002 has reportedly applied for the Zimbabwe national team coaching job. "
Sports,"
Billiat sees straight red in Yadah’s 1-0 loss to Herentals; leaves match venue ",https://nehandaradio.com/2024/05/06/billiat-sees-straight-red-in-yadahs-1-0-loss-to-herentals-leaves-match-venue/,"
Former Zimbabwe Warriors captain Denver Mukamba reportedly received a whooping US$2,000 bonus for netting a brace when his new club Scotland FC beat Trojan Mine 3-1 recently. "
Politics,"
                     Benefits of integrating food systems with education
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026604/benefits-of-integrating-food-systems-with-education,"
                Knowledge around appropriate food preservation technologies can be embedded at industrial parks occupied by the young generation who are attached to colleges and universities.
              "
Politics,"
                     ZiG is yet another infernal nuisance
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026606/zig-is-yet-another-infernal-nuisance,"
                There is a cost to a government in the hands of a ruling elite of low reputation. It cannot evade censure for attaining power illegitimately and for not being respectful of human rights.
              "
Politics,"
                     Zimbabwe can’t develop on the back of slave labour
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026575/zimbabwe-cant-develop-on-the-back-of-slave-labour,"
                Are those Mnangagwa’s aspirations? Is this how Zimbabwe is expected to achieve Mnangagwa’s envisioned Vision 2030?
              "
Politics,"
                     Effective communication: An invaluable problem solving tool
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026579/effective-communication-an-invaluable-problem-solving-tool,"
                Effective communication is not just about being able to talk, but also about being able to express your thoughts and ideas with clarity and charisma.
              "
Politics,"
                     World Press freedom in the face of green propaganda onslaught
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026546/world-press-freedom-in-the-face-of-green-propaganda-onslaught,"
                Environmental journalists and the journalism profession are at a crossroad, with the profession more dangerous than ever before.
              "
Politics,"
                     Is latest global steady economic growth real?
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026542/is-latest-global-steady-economic-growth-real,"
                It may also mean that global economies have found opportunities in some of the major wars with the economic benefits far outweighing the negative impacts
              "
Politics,"
                     The language of success
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026445/the-language-of-success,"
                When we greet people, their most obvious response is “I am fine!” Stop and think. What does that really mean? Most people settle in that zone called fine. It is generally good.
              "
Politics,"
                     New and living way
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026446/new-and-living-way,"
                Complaining or murmuring is fertile ground for not realising the promises of God.
              "
Politics,"
                     Press Freedom and climate journalism: United in crisis
                    ",https://www.newsday.co.zw/letters/article/200026451/press-freedom-and-climate-journalism-united-in-crisis,"
                Some journalists understandably believe they are targeted by Israeli forces.
              "
Politics,"
                     Is Zim opposition still left-leaning?
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026450/is-zim-opposition-still-left-leaning,"
                It was curious that the main opposition party did not give a solidarity statement at the May Day celebrations at Gwanzura Stadium in Highfield, Harare.
              "
Politics,"
                     When the mind needs a helping hand: Exploring  the world of neuropsychology
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026365/when-the-mind-needs-a-helping-hand-exploring-the-world-of-neuropsychology,"
                You might solve some puzzles, answer questions, or use blocks or computers for tasks that seem simple but reveal a lot about how your brain processes information.
              "
Politics,"
                     Winter wheat preps: What farmers should prioritise
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026371/winter-wheat-preps-what-farmers-should-prioritise,"
                As the current wild season is almost on its periphery, ahead of us is yet another exciting winter season for winter cropping to which participating farmers are currently gearing up.
              "
Politics,"
                     The power of naming
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026337/the-power-of-naming,"
                From the moment we are born, our names begin to shape our identities.
              "
Politics,"
                     ZiG will stand or fall on public trust, nothing else
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026335/zig-will-stand-or-fall-on-public-trust-nothing-else,"
                Also, the statutory instruments recently enacted to shield parastatals from public scrutiny undermine public trust in our financial governance.  
              "
Politics,"
                     Zim’s moving coffins: The untold story of targets
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026338/zims-moving-coffins-the-untold-story-of-targets,"
                According to the Traffic Safety Council of Zimbabwe (TSCZ), about 90% of road accidents are a result of human error.
              "
Politics,"
                     African economies should use natural resources to shape career pathways
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026303/african-economies-should-use-natural-resources-to-shape-career-pathways,"
                A lot could be learnt from African tradition that had its own ways of identifying talents, gifts and passions within children from a tender age.
              "
Politics,"
                     New dispensation is losing its marbles
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026314/new-dispensation-is-losing-its-marbles,"
                A truly listening president ought have discerned the essence of the apprehension of citizenry on the introduction of ZiG. Granted, citizenry is distraught as it can sense a bad omen.
              "
Politics,"
                     The middle: How to overcome frustration and avoid burnout
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026279/the-middle-how-to-overcome-frustration-and-avoid-burnout,"
                Understanding what needs to be done in order to attain success but somehow still not succeeding can be a tough blow.
              "
Politics,"
                     It’s not sabotage but poor economics!
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026281/its-not-sabotage-but-poor-economics,"
                Businesses and State institutions similarly had to shut down their vending systems in order to reconfigure them to recognise the local currency.
              "
Politics,"
                     The African health systems, social media clinics, challenges and prospects
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026242/the-african-health-systems-social-media-clinics-challenges-and-prospects,"
                The continent is at crossroads in terms of convincing the world about the sustainability of its health status and appropriacy.
              "
Politics,"
                     Knowledge management and poverty reduction
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026243/knowledge-management-and-poverty-reduction,"
                The West is overwhelmed by wars and addressing its own political and economic challenges.
              "
Politics,"
                     Digital digest: AI revolutionising journalism: Time newsrooms jump on board
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026160/digital-digest-ai-revolutionising-journalism-time-newsrooms-jump-on-board,"
                Newsrooms will continue tackling complex tasks like data analysis, content curation and personalised delivery through AI integration.
              "
Politics,"
                     Green Bombers: The return of National Youth Service
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026156/green-bombers-the-return-of-national-youth-service,"
                The supposed national programme recruited 90% of its trainees from the Zanu PF Youth League, making the initiative blatantly partisan from the onset.
              "
Politics,"
                     Background checks important when recruiting
                    ",https://www.newsday.co.zw/letters/article/200026157/background-checks-important-when-recruiting,"
                Safeguard’s Investigations Division conducts background checks on behalf of employers. It also offers truth verification tests using a voice stress analysis (VSA) test.
              "
Politics,"
                     Prayer further demystified
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026161/prayer-further-demystified,"
                There is a general error of a double-sided nature that believers, even preachers — especially in the Charismatic Church, make.
              "
Politics,"
                     Let’s build leaders
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026159/lets-build-leaders,"
                It is easy for people to excel when they know that they have 100% of your support as a leader.
              "
Sport,"
                     All eyes on local golfers
                    ",https://www.newsday.co.zw/sport/article/200026650/all-eyes-on-local-golfers,"
                The event launched on Sunday with a pre-qualifier event saw ProAm competition being held in the past two days as a precursor to the main Championship.
              "
Sport,"
                     PSL comes down hard on Caps, Chitembwe
                    ",https://www.newsday.co.zw/sport/article/200026648/psl-comes-down-hard-on-caps-chitembwe,"
                FC Platinum, who were leading the match 1-0 when the match was called off due to crowd trouble, have been handed the game on a 3-0 forfeiture scoreline.
              "
Sport,"
                     PSL imposes fine on Caps, Chitembwe
                    ",https://www.newsday.co.zw/sport/article/200026626/psl-imposes-fine-on-caps-chitembwe,"
                FC Platinum, who were leading 1-0 when the match was abandoned
              "
Sport,"
                     Chinhoi oozes confidence ahead of Zim Open
                    ",https://www.newsday.co.zw/sport/article/200026609/chinhoi-oozes-confidence-ahead-of-zim-open,"
                Chinhoi bagged the biggest win of his career in May last year when he won the Sunshine Tour-sanctioned Zanaco Masters in Zambia.
              "
Sport,"
                     Matsikenyeri demands better from batters
                    ",https://www.newsday.co.zw/sport/article/200026565/matsikenyeri-demands-better-from-batters,"
                Zimbabwe will play two more T20I matches against Bangladesh after today.
              "
Sport,"
                     Pressure eases on Chiragwi
                    ",https://www.newsday.co.zw/sport/article/200026571/pressure-eases-on-chiragwi,"
                Chiragwi is demanding his defence, which was the team’s pillar of strength last season, to pull up their socks.
              "
Sport,"
                     Vincent duo ready for Zim Open
                    ",https://www.newsday.co.zw/sport/article/200026570/vincent-duo-ready-for-zim-open,"
                Their arrival is a major boost for the country’s premier golf tournament which is set to run from May 9 to 12 at the 126-year-old golf facility in Harare.
              "
Sport,"
                     Where there’s William, there’s a way
                    ",https://www.newsday.co.zw/sport/article/200026553/where-theres-william-theres-a-way,"
                That proved to be the only meaningful chance in the uneventful second half.
              "
Sport,"
                     Arenel frustrate Bosso
                    ",https://www.newsday.co.zw/sport/article/200026554/arenel-frustrate-bosso,"
                Highlanders coach Kelvin Kaindu said the draw felt like a defeat.
              "
Sport,"
                     Brito wants Warriors job
                    ",https://www.newsday.co.zw/sport/article/200026461/brito-wants-warriors-job,"
                An impeccable source within the leadership of local football confirmed that the former Warriors and Highlanders’ gaffer had applied for the job.
              "
Sport,"
                     Bosso wary of Arenel, GameCocks host DeMbare
                    ",https://www.newsday.co.zw/sport/article/200026462/bosso-wary-of-arenel-gamecocks-host-dembare,"
                Coach Joey Antipas is hoping for the best against Dynamos and bouncing back to winning ways.
              "
Sport,"
                     Lack of incentives sniffles Young Sables
                    ",https://www.newsday.co.zw/sport/article/200026388/lack-of-incentives-sniffles-young-sables,"
                Young Sables head coach Shaun de Souza, who missed out on a third straight Barthes Trophy victory, pointed out the lack of incentives as a major draw back.
              "
Sport,"
                     Bosso won’t have it easy: Arenel
                    ",https://www.newsday.co.zw/sport/article/200026387/bosso-wont-have-it-easy-arenel,"
                Arenel lost their last two matches to Manica Diamonds and Green Fuel and sit on position 16 on the log table with eight points from one win and five draws.
              "
Sport,"
                     Zifa take Warriors to Joburg
                    ",https://www.newsday.co.zw/sport/article/200026389/zifa-take-warriors-to-joburg,"
                Four days later, Zimbabwe will face off with South Africa in an away match which has been scheduled for the Free State Stadium in Bloemfontein.
              "
Sport,"
                     Dynamos miss key trio
                    ",https://www.newsday.co.zw/sport/article/200026361/dynamos-miss-key-trio,"
                There is also disappointment for Makarati who is back on the sidelines after he recently recovered from an injury that kept him out of action for the first five matches of the season.
              "
Sport,"
                     End of the road for Lady Chevrons
                    ",https://www.newsday.co.zw/sport/article/200026348/end-of-the-road-for-lady-chevrons,"
                Zimbabwe got off to the worst possible start during their chase, losing three wickets for 30 runs in the powerplay.
              "
Sport,"
                     Prince Dube’s transfer saga rages on
                    ",https://www.newsday.co.zw/sport/article/200026347/prince-dubes-transfer-saga-rages-on,"
                Reports from Tanzania yesterday suggested the cash-rich club had bought a luxury house for Dube in Salasala, a few kilometres from the Indian Ocean beach as part of the deal.
              "
Sport,"
                     Academy’s Porto deal to help Zim players
                    ",https://www.newsday.co.zw/sport/article/200026345/academys-porto-deal-to-help-zim-players,"
                At least 150 kids from Harare and other surrounding areas have to date enrolled at the academy that trains children, both boys and girls under the age of 20.
              "
Sport,"
                     Zim runner eyes victory in Turkey race
                    ",https://www.newsday.co.zw/sport/article/200026346/zim-runner-eyes-victory-in-turkey-race,"
                Apart from the Izmir 21km marathon set for August, Mabika is also targeting to compete in two more races in Abu Dhabi before year end.
              "
Sport,"
                     Another stern test for Mangombe
                    ",https://www.newsday.co.zw/sport/article/200026322/another-stern-test-for-mangombe,"
                Dynamos defeated TelOne in Mangombe’s next assignment and his game against Chegutu Pirates was abandoned with the Glamour Boys leading 1-0
              "
Sport,"
                     D-Day for the Lady Chevrons
                    ",https://www.newsday.co.zw/sport/article/200026321/d-day-for-the-lady-chevrons,"
                After investing immensely in these qualifiers going as far as India, the Lady Chevrons' dream came under threat following an uncharacteristic six-wicket
              "
Sport,"
                     Mangombe is safe, says DeMbare executive
                    ",https://www.newsday.co.zw/sport/article/200026295/mangombe-is-safe-says-dembare-executive,"
                High-flying Manica Diamonds moved to second position on the log standings with 16 points following a crucial 1-0 win over FC Platinum for their fifth straight win.
              "
Sport,"
                     PSL coaches raise a red flag
                    ",https://www.newsday.co.zw/sport/article/200026294/psl-coaches-raise-a-red-flag,"
                Caps United were denied a Ralph Kawondera equaliser as the striker was ruled offside with the hosts leading 1-0.
              "
Sport,"
                     DeMbare, Ngezi in four-goal thriller
                    ",https://www.newsday.co.zw/sport/article/200026259/dembare-ngezi-in-four-goal-thriller,"
                DeMbare coach Genesis Mangombe said he is happy with his boys performance. He, however, criticised the match officials, saying their decisions are “determining” matches.
              "
Sport,"
                     Bosso burst Caps’ bubble
                    ",https://www.newsday.co.zw/sport/article/200026263/bosso-burst-caps-bubble,"
                The Bulawayo giants held on to the two goals they scored in the first half to claim the much-needed victory after disappointing with a defeat and draw in their previous matches.
              "
Sport,"
                     Manica Diamonds edge FC Platinum
                    ",https://www.newsday.co.zw/sport/article/200026257/manica-diamonds-edge-fc-platinum,"
                Manica Diamonds who started  the season on a dreadful note seem to have struck the right chord.
              "
Business,"
                     Industry minister engages businesses over ZiG
                    ",https://www.newsday.co.zw/business/article/200026633/industry-minister-engages-businesses-over-zig,"
                He toured a US$5,6 million pasta manufacturing plant and a US$7,7 million biscuit making line.
              "
Business,"
                     Invictus identifies multiple gas potentials
                    ",https://www.newsday.co.zw/business/article/200026603/invictus-identifies-multiple-gas-potentials,"
                The reservoir rock, according to experts, is the porous, permeable rock layer that hold the oil and gas.
              "
Business,"
                     General Beltings seeks to consolidate market position
                    ",https://www.newsday.co.zw/business/article/200026600/general-beltings-seeks-to-consolidate-market-position,"
                Due to geopolitical tensions, mineral reserves will flood the markets and depress demand for minerals that Zimbabwe would ordinarily supply.
              "
Business,"
                     London firm targets bulk-mining in Zim
                    ",https://www.newsday.co.zw/business/article/200026599/london-firm-targets-bulk-mining-in-zim,"
                This is expected to enable it to test the potential for a bulk mineable gold deposit across the entire shear zone at both prospects.
              "
Business,"
                     WestProp plots mega capital raise
                    ",https://www.newsday.co.zw/business/article/200026602/westprop-plots-mega-capital-raise,"
                He said the lesson learnt from last year was that WestProp was supposed to do a book building exercise to whet the market’s appetite about the IPO.
              "
Business,"
                     Econet says it wants to make all remittances into Zimbabwe free
                    ",https://www.newsday.co.zw/business/article/200026610/econet-says-it-wants-to-make-all-remittances-into-zimbabwe-free,"
                Econet’s group chief executive, Douglas Mboweni, said the initiative would remain in place for some time
              "
Business,"
                     We’ll soar like an eagle: Zimre
                    ",https://www.newsday.co.zw/business/article/200026566/well-soar-like-an-eagle-zimre,"
                The group’s healthy balance sheet position is evidence of its resilience and commitment to provide its stakeholders with security, growth and profitability.
              "
Business,"
                     Fidelity profit rises by 1 000%
                    ",https://www.newsday.co.zw/business/article/200026573/fidelity-profit-rises-by-1-000,"
                In terms of assets, these were valued at ZWL$483,77 billion, up nearly 79% from the 2022 comparative, driven by investment properties.
              "
Business,"
                     Govt introduces fresh tax to keep forex inland
                    ",https://www.newsday.co.zw/business/article/200026572/govt-introduces-fresh-tax-to-keep-forex-inland,"
                Ncube also introduced new charges for withdrawing ZiG and on local currency transactions.
              "
Business,"
                     The Top 5 Container Shipping Companies In The World
                    ",https://www.newsday.co.zw/business/article/200026629/the-top-5-container-shipping-companies-in-the-world,"
                Container shipping is at the core of the global economy, with this industry
              "
Business,"
                     ZCTU mourns over low wages
                    ",https://www.newsday.co.zw/business/article/200026540/zctu-mourns-over-low-wages,"
                The letter indicated that any failure on the part of the employment council to comply with those requirements constitutes justifiable grounds for the registrar to cancel a certificate.
              "
Business,"
                     ‘Entrepreneurs need to enter into alliances’
                    ",https://www.newsday.co.zw/business/article/200026539/entrepreneurs-need-to-enter-into-alliances,"
                Tsokodayi also said entrepreneurs should see micro-finance institutions as partners rather than loan sharks.
              "
Business,"
                     CBZ to monitor risks to protect 330% profit
                    ",https://www.newsday.co.zw/business/article/200026541/cbz-to-monitor-risks-to-protect-330-profit,"
                Increased lending and financial securities helped grow CBZ’s total assets to ZWL8,25 trillion at the end of last year, an increase of nearly 80% from 2022.
              "
Business,"
                     African Sun flush with cash for capital investments
                    ",https://www.newsday.co.zw/business/article/200026364/african-sun-flush-with-cash-for-capital-investments,"
                The commitment comes after the firm increased its capital commitments last year to US$11,01 million, up 20,22% on the 2022 figures.
              "
Business,"
                     Watch ZiG closely: Fews Net
                    ",https://www.newsday.co.zw/business/article/200026376/watch-zig-closely-fews-net,"
                Last month saw the introduction of the ZiG, replacing the battered Zimdollar that had experienced a sharp depreciation.
              "
Business,"
                     WestProp unveils US$300m mixed-use estate in urban renewal push
                    ",https://www.newsday.co.zw/business/article/200026375/westprop-unveils-us300m-mixed-use-estate-in-urban-renewal-push,"
                WestProp roped in renowned golf course designer Peter Matkovich and top  architect Joan Balagué Capdet to the project.
              "
Business,"
                     RTG Abridged financial results year ended 31 Decemeber  2023
                    ",https://www.newsday.co.zw/business/article/200026358/rtg-abridged-financial-results-year-ended-31-decemeber-2023,"
                rgt consolidated financials
              "
Business,"
                     Zim to achieve zero tariffs by 2035
                    ",https://www.newsday.co.zw/business/article/200026334/zim-to-achieve-zero-tariffs-by-2035,"
                Zimbabwe’s tariff liberalisation schedule has 6 606 total tariff lines, which have been categorised as categories A, B, and C.
              "
Business,"
                     Zimplats spends US$789 million on projects
                    ",https://www.newsday.co.zw/business/article/200026333/zimplats-spends-us789-million-on-projects,"
                6E metal in final product improved by 12% year-on-year and was 1% higher than the prior quarter.
              "
Business,"
                     Econet in a remittance first for Zimbabwe
                    ",https://www.newsday.co.zw/business/article/200026356/econet-in-a-remittance-first-for-zimbabwe,"
                Econet has partnered with its sister company, Sasai Money Transfer
              "
Business,"
                     Risk management and insurance club launched at GZU
                    ",https://www.newsday.co.zw/business/article/200026307/risk-management-and-insurance-club-launched-at-gzu,"
                The club members will have access to the trending issues in the industry, which could help them to formulate their research topics and produce dissertations.
              "
Business,"
                     A third of Zim’s industry ready for AfCFTA: CZI
                    ",https://www.newsday.co.zw/business/article/200026304/a-third-of-zims-industry-ready-for-afcfta-czi,"
                He said that companies noted that the cost of production was higher in Zimbabwe compared to other countries making local firms uncompetitive.
              "
Business,"
                     Kuvimba CEO steps down
                    ",https://www.newsday.co.zw/business/article/200026305/kuvimba-ceo-steps-down,"
                Chinyemba had plans to list the company on the Victoria Falls Stock Exchange.
              "
Business,"
                     Metbank eyes more forex loans to drive profitability
                    ",https://www.newsday.co.zw/business/article/200026306/metbank-eyes-more-forex-loans-to-drive-profitability,"
                A monetary gain and fair value adjustment were the main drivers of profit after tax.
              "
Business,"
                     Zimplow completes Barzem acquisition
                    ",https://www.newsday.co.zw/business/article/200026287/zimplow-completes-barzem-acquisition,"
                Zimplow said TPS has created a footprint in the supply of filtration, lubricants and mining ground engaging tools as well as securing service level agreements with key operators.
              "
Business,"
                     Botswana eyes investment opportunities in Zim
                    ",https://www.newsday.co.zw/business/article/200026286/botswana-eyes-investment-opportunities-in-zim,"
                ZimTrade and BITC signed a memorandum of understanding in 2018 to facilitate collaboration and cooperation between the two organisations.
              "
Entertainment,"
                     Multi-media expos to improve Zim’s broadcasting sector
                    ",https://www.newsday.co.zw/life-amp-style/article/200026630/multi-media-expos-to-improve-zims-broadcasting-sector,"
                Nleya mentioned that it is not advisable to enter an oversubscribed sector, but one should start something new and make a difference to help to develop the country.
              "
Entertainment,"
                     Mono Mukundu lauds Mokoomba
                    ",https://www.newsday.co.zw/life-amp-style/article/200026597/mono-mukundu-lauds-mokoomba,"
                In February, the group headlined the Marrabenta Festival in Marracuene, Mozambique alongside musician Morena Leraba from Lesotho.
              "
Entertainment,"
                     Gemma Griffiths pays tribute to Bob Nyabinde
                    ",https://www.newsday.co.zw/life-amp-style/article/200026598/gemma-griffiths-pays-tribute-to-bob-nyabinde,"
                In a social media post prior to the release of the project, the musician expressed heartfelt appreciation to the late icon for his inspiration and guidance.
              "
Entertainment,"
                     Hearing-impaired having it rough in healthcare
                    ",https://www.newsday.co.zw/life-amp-style/article/200026596/hearing-impaired-having-it-rough-in-healthcare,"
                Dance projects manager Tsungirirai Tsikira said rigorous efforts must be made to deal with the challenges facing the hearing impaired community.
              "
Entertainment,"
                     ‘Drug abuse scourge also taking a toll on women’
                    ",https://www.newsday.co.zw/life-amp-style/article/200026577/drug-abuse-scourge-also-taking-a-toll-on-women,"
                The report further noted that violence can negatively affect women’s physical, mental, sexual and reproductive health and may increase the risk of acquiring HIV in some settings.
              "
Entertainment,"
                     US fans inspire Freeman
                    ",https://www.newsday.co.zw/life-amp-style/article/200026578/us-fans-inspire-freeman,"
                Other local artistes who performed in Dallas at the two-day festival on March 28 were Trevor Dongo, Tariro Gezi and Julian King.
              "
Entertainment,"
                     Queens Sports Club in 'good' state after Byo Shutdown: Management
                    ",https://www.newsday.co.zw/life-amp-style/article/200026586/queens-sports-club-in-good-state-after-byo-shutdown-management,"
                South African superstars Kwesta, Murumba Pitch and Emtee, alongside local favourites Winky D, Enzo Ishall, Mzoe 7, and Killer T, also shared the stage with Winky D.
              "
Entertainment,"
                     ‘Content piracy threatening millions of livelihoods’
                    ",https://www.newsday.co.zw/life-amp-style/article/200026543/content-piracy-threatening-millions-of-livelihoods,"
                The workshop will also highlight the importance of public-private co-operation in the fight against piracy and safeguarding copyright.
              "
Entertainment,"
                     Chibuku Neshamwari festival dates set
                    ",https://www.newsday.co.zw/life-amp-style/article/200026544/chibuku-neshamwari-festival-dates-set,"
                To participate in the dance festival, groups should visit their nearest NACZ centre to sign up their respective groups.
              "
Entertainment,"
                     Exploring Bling 4's music themes
                    ",https://www.newsday.co.zw/life-amp-style/article/200026447/exploring-bling-4s-music-themes,"
                The musician has demonstrated consistency in the music industry, which has seen him performing at prestigious events alongside big names in the industry.
              "
Entertainment,"
                     Model urges men to seek help when vulnerable
                    ",https://www.newsday.co.zw/life-amp-style/article/200026363/model-urges-men-to-seek-help-when-vulnerable,"
                Social media advertising being pushed by the fashion world has fostered inclusivity.
              "
Entertainment,"
                     Mlalazi acknowledges fans request for Manyowa collabo
                    ",https://www.newsday.co.zw/life-amp-style/article/200026362/mlalazi-acknowledges-fans-request-for-manyowa-collabo,"
                The song is a showcase of powerful vocals and rich lyrical prowess by Mlalazi and Manyowa while the visuals and cinematography depict great artistry.
              "
Entertainment,"
                     ZAOGA preserves Guti’s legacy
                    ",https://www.newsday.co.zw/life-amp-style/article/200026331/zaoga-preserves-gutis-legacy,"
                Archbishop Guti was born on May 5 1923 and he died on July 5, 2023, at the age of 100.
              "
Entertainment,"
                     Flying Bantu aims to attain regional appeal
                    ",https://www.newsday.co.zw/life-amp-style/article/200026330/flying-bantu-aims-to-attain-regional-appeal,"
                The band has Amkela Moyo (guitar), Bongani Moyo (bass), Joshua Alufasi (keys) and Sam Gulubane (drums).
              "
Entertainment,"
                     Stellar performances mark local edition of International Jazz Day
                    ",https://www.newsday.co.zw/life-amp-style/article/200026594/stellar-performances-mark-local-edition-of-international-jazz-day,"
                Other talented musicians on the bill included Prudence Katomeni, Rute Mbangwa, Nicholar Mutuwa, Mono Mukundu and Victor Kunonga.
              "
